业务线,员工数,实际人天,预估人天,理论人天,实际人均人天,预估人均人天,理论人均人天,部门实际人均人天,实际-预估差,实际-理论差,预估填报率,理论填报率,预估填报,理论填报
DX-TY,10,23,220,230,2.3,22,23,16.2,-197,-207,10.5,10,不满,不满
SCG,1,0,23,23,0,23,23,16.2,-23,-23,0,0,不满,不满
SI,10,23,230,230,2.3,23,23,16.2,-207,-207,10,10,不满,不满
SX-ABG,9,177,14,207,19.7,1.6,23,16.2,163,-30,1264.3,85.5,超载,不满
AIOT,12,230,276,276,19.2,23,23,16.2,-46,-46,83.3,83.3,合理,不满
IRDC,4,91.4,23,92,22.8,5.8,23,16.2,68.4,-0.6,397.3,99.3,超载,合理
SX-IBG,30,675.1,19,690,22.5,0.6,23,16.2,656.1,-14.9,3553.3,97.8,超载,合理
IR,22,527.2,492.2,506,24,22.4,23,16.2,35,21.2,107.1,104.2,合理,合理
DX-SKU,14,67.8,312.8,322,4.8,22.3,23,16.2,-245,-254.2,21.7,21.1,不满,不满
Total,112,1814.5,1610,2576,16.2,14.4,23,16.2,204.5,-761.5,112.7,70.4,合理,不满
