员工所属部门,员工姓名,预计人天工时,实际人天工时,实际与预计Gap,预估填报率,员工所属部门,项目编号,员工姓名,预计人天工时,实际人天工时,实际与预计Gap,实际填报率
中东云平台,39,810,909.4625,99.4625,112.28,中东云平台,D-IB190815.001,1,0,3,3,inf%
亚太云平台,11,188,253,65,134.57,中东云平台,D-IB220814.001,4,0,27,27,inf%
亚太研发中心,14,299,389.875,90.875,130.39,中东云平台,P-AB210891.001,2,2,23,21,1150.00%
数字化转型与创新孵化,18,345,437.975,92.975,126.95,中东云平台,P-AB210896.001,4,15,0,-15,0.00%
智慧体育创新中心,20,431.5,459,27.5,106.37,中东云平台,P-AB220828.001,2,0,3,3,inf%
智慧娱乐,21,391,487,96,124.55,中东云平台,P-AB220847.001,21,0,347.625,347.625,inf%
海外智能终端与应用,10,148,246.4875,98.4875,166.55,中东云平台,P-IB220811.001,28,112,228.7125,116.7125,204.21%
海外研发中心,1,23,23,0,100,中东云平台,P-IB220821.001,3,0,6,6,inf%
行业研发第二中心,3,0,32,32,inf%,中东云平台,P-IB220822.001,4,0,16,16,inf%
,25,527.5,0,-527.5,0,中东云平台,R-AB200001.001,1,0,12,12,inf%
,,,,,,中东云平台,R-AB210872.001,4,25,3.375,-21.625,13.50%
,,,,,,中东云平台,R-AB220817.001,2,46,23,-23,50.00%
,,,,,,中东云平台,R-AB220823.001,1,0,4,4,inf%
,,,,,,中东云平台,R-AB220867.001,2,0,46,46,inf%
,,,,,,中东云平台,R-IB210810.001,6,35,29.25,-5.75,83.57%
,,,,,,中东云平台,R-IB220801.001,1,23,0,-23,0.00%
,,,,,,中东云平台,R-IB220808.001,1,0,4,4,inf%
,,,,,,中东云平台,R-IB220824.001,25,552,24,-528,4.35%
,,,,,,中东云平台,R-SC210067.001,2,0,46,46,inf%
,,,,,,中东云平台,R-SC220924.001,1,0,0.5,0.5,inf%
,,,,,,中东云平台,R-SC221128.001,1,0,23,23,inf%
,,,,,,中东云平台,R-SC221131.001,1,0,22,22,inf%
,,,,,,中东云平台,Z1,10,0,18,18,inf%
,,,,,,亚太云平台,D-IB220814.001,1,0,1.125,1.125,inf%
,,,,,,亚太云平台,M-AB210863.001,1,0,1.375,1.375,inf%
,,,,,,亚太云平台,P-AB210891.001,5,23,5,-18,21.74%
,,,,,,亚太云平台,P-AB210896.001,3,18,0,-18,0.00%
,,,,,,亚太云平台,P-AB220828.001,3,0,13,13,inf%
,,,,,,亚太云平台,P-AB220847.001,5,0,50.25,50.25,inf%
,,,,,,亚太云平台,P-IB220804.001,1,0,0.25,0.25,inf%
,,,,,,亚太云平台,P-IB220811.001,7,15,57.5,42.5,383.33%
,,,,,,亚太云平台,R-AB210872.001,2,13,0.375,-12.625,2.88%
,,,,,,亚太云平台,R-AB220817.001,1,6,1.25,-4.75,20.83%
,,,,,,亚太云平台,R-AB220867.001,1,0,7,7,inf%
,,,,,,亚太云平台,R-IB210810.001,1,5,1.375,-3.625,27.50%
,,,,,,亚太云平台,R-IB220824.001,5,108,8,-100,7.41%
,,,,,,亚太云平台,R-SC210067.001,1,0,23,23,inf%
,,,,,,亚太云平台,R-SC210068.001,1,0,23,23,inf%
,,,,,,亚太云平台,R-SC210124.002,2,0,6.25,6.25,inf%
,,,,,,亚太云平台,R-SC220924.001,1,0,1.25,1.25,inf%
,,,,,,亚太云平台,R-SC221128.001,1,0,23,23,inf%
,,,,,,亚太云平台,R-SC221141.001,1,0,23,23,inf%
,,,,,,亚太云平台,Z1,3,0,7,7,inf%
,,,,,,亚太研发中心,M-AB220818.001,1,0,2,2,inf%
,,,,,,亚太研发中心,P-AB220815.001,1,0,2,2,inf%
,,,,,,亚太研发中心,P-AB220821.001,1,0,3,3,inf%
,,,,,,亚太研发中心,R-AB200849.001,1,0,13.5,13.5,inf%
,,,,,,亚太研发中心,R-AB220813.001,1,9,19,10,211.11%
,,,,,,亚太研发中心,R-AB220817.001,12,276,109.5,-166.5,39.67%
,,,,,,亚太研发中心,R-AB220822.001,1,14,9,-5,64.29%
,,,,,,亚太研发中心,R-AB220867.001,12,0,216.375,216.375,inf%
,,,,,,亚太研发中心,R-SC220921.001,1,0,10,10,inf%
,,,,,,亚太研发中心,Z1,3,0,5.5,5.5,inf%
,,,,,,数字化转型与创新孵化,M-SC220015.001,1,0,5.125,5.125,inf%
,,,,,,数字化转型与创新孵化,R-AB200849.001,1,0,14,14,inf%
,,,,,,数字化转型与创新孵化,R-AB220817.001,2,23,27,4,117.39%
,,,,,,数字化转型与创新孵化,R-AB220822.001,1,23,9,-14,39.13%
,,,,,,数字化转型与创新孵化,R-AB220867.001,2,0,38,38,inf%
,,,,,,数字化转型与创新孵化,R-SC210067.001,1,0,25.375,25.375,inf%
,,,,,,数字化转型与创新孵化,R-SC211232.004.01,4,80.5,88,7.5,109.32%
,,,,,,数字化转型与创新孵化,R-SC220886.001,4,92,93.475,1.475,101.60%
,,,,,,数字化转型与创新孵化,R-SC220888.001,4,92,92,0,100.00%
,,,,,,数字化转型与创新孵化,R-SC220924.001,2,34.5,22,-12.5,63.77%
,,,,,,数字化转型与创新孵化,Z1,1,0,1,1,inf%
,,,,,,数字化转型与创新孵化,Z2,1,0,23,23,inf%
,,,,,,智慧体育创新中心,M-AB210863.001,1,0,23,23,inf%
,,,,,,智慧体育创新中心,P-AB220810.001,1,23,0,-23,0.00%
,,,,,,智慧体育创新中心,R-AB200001.001,1,0,23,23,inf%
,,,,,,智慧体育创新中心,R-SC211232.004.01,3,69,69,0,100.00%
,,,,,,智慧体育创新中心,R-SC211512.002,5,101,98.5,-2.5,97.52%
,,,,,,智慧体育创新中心,R-SC220924.001,8,170,145.25,-24.75,85.44%
,,,,,,智慧体育创新中心,R-SC221089.001,5,68.5,62.75,-5.75,91.61%
,,,,,,智慧体育创新中心,Z1,8,0,37.5,37.5,inf%
,,,,,,智慧娱乐,P-AB220809.001,2,0,12.95,12.95,inf%
,,,,,,智慧娱乐,P-AB220810.001,2,46,0,-46,0.00%
,,,,,,智慧娱乐,R-AB200001.001,16,276,354.2875,78.2875,128.37%
,,,,,,智慧娱乐,R-AB220811.001,5,69,54.7625,-14.2375,79.37%
,,,,,,智慧娱乐,R-SC210068.001,1,0,20,20,inf%
,,,,,,智慧娱乐,R-SC221128.001,1,0,23,23,inf%
,,,,,,智慧娱乐,R-SC221141.001,1,0,18,18,inf%
,,,,,,智慧娱乐,Z1,2,0,4,4,inf%
,,,,,,海外智能终端与应用,R-AB200849.001,4,23,75.125,52.125,326.63%
,,,,,,海外智能终端与应用,R-AB210880.001,1,14,9,-5,64.29%
,,,,,,海外智能终端与应用,R-AB220813.001,3,28,37.4625,9.4625,133.79%
,,,,,,海外智能终端与应用,R-AB220817.001,3,42,5,-37,11.90%
,,,,,,海外智能终端与应用,R-AB220822.001,3,41,32,-9,78.05%
,,,,,,海外智能终端与应用,R-AB220843.001,5,0,55.9,55.9,inf%
,,,,,,海外智能终端与应用,R-AB220867.001,2,0,32,32,inf%
,,,,,,海外研发中心,R-SC221089.001,1,23,23,0,100.00%
,,,,,,行业研发第二中心,P-SC220905.001,1,0,8,8,inf%
,,,,,,行业研发第二中心,R-SC210067.001,2,0,9,9,inf%
,,,,,,行业研发第二中心,R-SC221131.001,1,0,14,14,inf%
,,,,,,行业研发第二中心,Z1,1,0,1,1,inf%
,,,,,,,P-AB210896.001,1,3,0,-3,0.00%
,,,,,,,P-AB220847.001,11,253,0,-253,0.00%
,,,,,,,P-IB220811.001,12,94,0,-94,0.00%
,,,,,,,R-AB200001.001,1,23,0,-23,0.00%
,,,,,,,R-AB220823.001,2,28,0,-28,0.00%
,,,,,,,R-IB220824.001,1,23,0,-23,0.00%
