业务线,员工数,实际人天,预估人天,理论人天,实际人均人天,预估人均人天,理论人均人天,部门实际人均人天,实际-预估差,实际-理论差,预估填报率,理论填报率,预估填报,理论填报
AIOT,13,185,247,247,14.2,19,19,12.5,-62,-62,74.9,74.9,不满,不满
DX-SKU,15,138.2,265,287,9.2,17.7,17.7,12.5,-126.8,-148.8,52.2,48.2,不满,不满
DX-TY,10,17,171,194,1.7,17.1,17.1,12.5,-154,-177,9.9,8.8,不满,不满
IR,24,361,396,470,15,16.5,16.5,12.5,-35,-109,91.2,76.8,合理,不满
IRDC,4,53,86,76,13.3,21.5,21.5,12.5,-33,-23,61.6,69.7,不满,不满
SCG,1,0,19,19,0,19,19,12.5,-19,-19,0,0,不满,不满
SI,11,155,207,209,14.1,18.8,18.8,12.5,-52,-54,74.9,74.2,不满,不满
SX-ABG,10,119,229,192,11.9,22.9,22.9,12.5,-110,-73,52,62,不满,不满
SX-IBG,31,459,748,589,14.8,24.1,24.1,12.5,-289,-130,61.4,77.9,不满,不满
总计,119,1487.2,2368,2283,12.5,19.9,19.9,12.5,-880.8,-795.8,62.8,65.1,不满,不满
